"INDICATOR","HFA_402"

"HFA_402","Hospital discharges, respiratory system diseases"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"UNIT_TYPE","Unit"
"NUM_DISCHARGES","number of hospital discharges"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"BGR","","ALL","1999","146616"
"BGR","","ALL","2000","157215"
"BGR","","ALL","2001","160426"
"BGR","","ALL","2002","190009"
"BGR","","ALL","2003","208433"
"BGR","","ALL","2004","222541"
"BGR","","ALL","2005","245851"
"BGR","","ALL","2006","226483"
"BGR","","ALL","2007","225429"
"BGR","","ALL","2008","229968"
"BGR","","ALL","2009","244545"
"BGR","","ALL","2010","233472"
"BIH","","ALL","1980","34850"
"BIH","","ALL","1983","45611"
"BIH","","ALL","1984","48914"
"BIH","","ALL","1985","40855"
"BIH","","ALL","1986","39760"
"BIH","","ALL","1987","40011"
"BIH","","ALL","1988","38321"
"BIH","","ALL","1989","37962"
"BLR","","ALL","1993","415126"
"BLR","","ALL","1994","404918"
"BLR","","ALL","1995","416208"
"BLR","","ALL","1996","383312"
"BLR","","ALL","1997","421316"
"BLR","","ALL","1998","490140"
"BLR","","ALL","1999","502371"
"BLR","","ALL","2000","458619"
"BLR","","ALL","2001","429774"
"BLR","","ALL","2002","421842"
"BLR","","ALL","2003","405714"
"BLR","","ALL","2004","402785"
"BLR","","ALL","2005","396413"
"BLR","","ALL","2006","389545"
"BLR","","ALL","2007","414984"
"BLR","","ALL","2008","409160"
"BLR","","ALL","2009","470033"
"BLR","","ALL","2010","435988"
"BLR","","ALL","2011","428883"
"BLR","","ALL","2012","401897"
"BLR","","ALL","2013","416483"
"BLR","","ALL","2014","393253"
"BLR","","ALL","2015","377958"
"BLR","","ALL","2016","383658"
"BLR","","ALL","2017","404344"
"BLR","","ALL","2018","390313"
"BLR","","ALL","2019","364126"
"BLR","","ALL","2020","252229"
"BLR","","ALL","2021","212847"
"BLR","","ALL","2022","235597"
"","CARINFONET","ALL","1996","1297557"
"","CARINFONET","ALL","1997","1293931"
"","CARINFONET","ALL","1998","1124798"
"","CARINFONET","ALL","1999","1058707"
"","CARINFONET","ALL","2000","1096111"
"","CARINFONET","ALL","2001","1117120"
"","CARINFONET","ALL","2002","1158470"
"","CARINFONET","ALL","2003","1263623"
"","CARINFONET","ALL","2004","1312517"
"","CARINFONET","ALL","2005","1342961"
"","CARINFONET","ALL","2006","1359107"
"","CARINFONET","ALL","2007","1431305"
"","CARINFONET","ALL","2008","1407764"
"","CARINFONET","ALL","2009","1537888"
"","CARINFONET","ALL","2010","1517583"
"","CARINFONET","ALL","2011","1496483"
"","CARINFONET","ALL","2012","1528563"
"","CARINFONET","ALL","2013","1574219"
"","CARINFONET","ALL","2014","1591755"
"","CARINFONET","ALL","2015","1588474"
"","CARINFONET","ALL","2016","1723778"
"","CARINFONET","ALL","2017","1785003"
"","CARINFONET","ALL","2018","1822637"
"","CARINFONET","ALL","2019","1836331"
"CHE","","ALL","2002","60680"
"CHE","","ALL","2003","60751"
"CHE","","ALL","2004","61815"
"CHE","","ALL","2005","63654"
"CHE","","ALL","2006","62543"
"CHE","","ALL","2007","65807"
"CHE","","ALL","2008","67660"
"CHE","","ALL","2009","70566"
"","CIS","ALL","1996","7561883"
"","CIS","ALL","1997","7636702"
"","CIS","ALL","1998","7363373"
"","CIS","ALL","1999","7399004"
"","CIS","ALL","2000","7466865"
"","CIS","ALL","2001","7387314"
"","CIS","ALL","2002","7156921"
"","CIS","ALL","2003","7231135"
"","CIS","ALL","2004","7166476"
"","CIS","ALL","2005","7305461"
"","CIS","ALL","2006","7134180"
"","CIS","ALL","2007","7359115"
"","CIS","ALL","2008","7268087"
"","CIS","ALL","2009","7889460"
"","CIS","ALL","2010","7834266"
"","CIS","ALL","2011","7658733"
"","CIS","ALL","2012","7416106"
"","CIS","ALL","2013","7594072"
"","CIS","ALL","2014","7242122"
"","CIS","ALL","2015","7016977"
"","CIS","ALL","2016","7493345"
"","CIS","ALL","2017","7192552"
"CYP","","ALL","1976","3756"
"CYP","","ALL","1977","4395"
"CYP","","ALL","1978","3440"
"CYP","","ALL","1979","3534"
"CYP","","ALL","1980","3934"
"CYP","","ALL","1981","3906"
"CYP","","ALL","1982","3863"
"CYP","","ALL","1983","4731"
"CYP","","ALL","1984","4082"
"CYP","","ALL","1985","4547"
"CYP","","ALL","1986","4174"
"CYP","","ALL","1987","4294"
"CYP","","ALL","1988","4254"
"CYP","","ALL","1989","4236"
"CYP","","ALL","1990","4559"
"CYP","","ALL","1991","4982"
"CYP","","ALL","1992","4194"
"CYP","","ALL","1993","4296"
"CYP","","ALL","1994","4355"
"CYP","","ALL","1995","4334"
"CYP","","ALL","1996","4701"
"CYP","","ALL","1997","4963"
"CYP","","ALL","1998","5399"
"CYP","","ALL","1999","5280"
"CYP","","ALL","2000","5143"
"CYP","","ALL","2001","5209"
"CYP","","ALL","2002","4950"
"CYP","","ALL","2003","5498"
"CYP","","ALL","2004","5182"
"CYP","","ALL","2005","5353"
"CYP","","ALL","2006","5415"
"CYP","","ALL","2007","6387"
"CYP","","ALL","2008","4745"
"CZE","","ALL","1981","209093"
"CZE","","ALL","1986","200175"
"CZE","","ALL","1992","156351"
"CZE","","ALL","1993","157299"
"CZE","","ALL","1994","173131"
"CZE","","ALL","1995","182797"
"CZE","","ALL","1996","176623"
"CZE","","ALL","1997","164063"
"CZE","","ALL","1998","161143"
"CZE","","ALL","1999","161222"
"CZE","","ALL","2000","151077"
"CZE","","ALL","2001","151094"
"CZE","","ALL","2002","144364"
"CZE","","ALL","2003","152372"
"CZE","","ALL","2004","144991"
"CZE","","ALL","2005","154742"
"CZE","","ALL","2006","143916"
"CZE","","ALL","2007","148937"
"CZE","","ALL","2008","141791"
"CZE","","ALL","2009","146871"
"CZE","","ALL","2010","139732"
"DEU","","ALL","1993","993981"
"DEU","","ALL","1994","981089"
"DEU","","ALL","1995","998778"
"DEU","","ALL","1996","995498"
"DEU","","ALL","1997","979158"
"DEU","","ALL","1998","1028113"
"DEU","","ALL","1999","1038234"
"DEU","","ALL","2000","1005509"
"DEU","","ALL","2001","1008370"
"DEU","","ALL","2002","1038984"
"DEU","","ALL","2003","1133426"
"DEU","","ALL","2004","1085716"
"DEU","","ALL","2005","1136726"
"DEU","","ALL","2006","1089534"
"DEU","","ALL","2007","1148460"
"DEU","","ALL","2008","1149628"
"DEU","","ALL","2009","1226173"
"DNK","","ALL","1987","62745"
"DNK","","ALL","1988","64912"
"DNK","","ALL","1989","64988"
"DNK","","ALL","1990","66570"
"DNK","","ALL","1991","66832"
"DNK","","ALL","1992","69773"
"DNK","","ALL","1993","76603"
"DNK","","ALL","1994","70130"
"DNK","","ALL","1995","76565"
"DNK","","ALL","1996","77065"
"DNK","","ALL","1997","79291"
"DNK","","ALL","1998","80875"
"DNK","","ALL","1999","83539"
"DNK","","ALL","2000","83091"
"DNK","","ALL","2001","87255"
"DNK","","ALL","2002","86386"
"DNK","","ALL","2003","89733"
"DNK","","ALL","2004","92640"
"DNK","","ALL","2005","95647"
"DNK","","ALL","2006","96309"
"DNK","","ALL","2007","99721"
"DNK","","ALL","2008","95702"
"DNK","","ALL","2009","103524"
"DNK","","ALL","2010","109638"
"ESP","","ALL","1980","234741"
"ESP","","ALL","1981","264021"
"ESP","","ALL","1982","263986"
"ESP","","ALL","1983","277448"
"ESP","","ALL","1984","276716"
"ESP","","ALL","1985","287908"
"ESP","","ALL","1986","273291"
"ESP","","ALL","1987","272611"
"ESP","","ALL","1988","270473"
"ESP","","ALL","1989","278829"
"ESP","","ALL","1990","272609"
"ESP","","ALL","1991","279602"
"ESP","","ALL","1992","279258"
"ESP","","ALL","1993","311168"
"ESP","","ALL","1994","306030"
"ESP","","ALL","1995","343784"
"ESP","","ALL","1996","353365"
"ESP","","ALL","1997","359303"
"ESP","","ALL","1998","384792"
"ESP","","ALL","1999","418403"
"ESP","","ALL","2000","432814"
"ESP","","ALL","2001","410311"
"ESP","","ALL","2002","438891"
"ESP","","ALL","2003","467246"
"ESP","","ALL","2004","449480"
"ESP","","ALL","2005","497637"
"ESP","","ALL","2006","481177"
"ESP","","ALL","2007","524091"
"ESP","","ALL","2008","516308"
"ESP","","ALL","2009","544561"
"EST","","ALL","1990","34254"
"EST","","ALL","1991","31093"
"EST","","ALL","1992","30043"
"EST","","ALL","1993","34073"
"EST","","ALL","1994","29803"
"EST","","ALL","1995","31812"
"EST","","ALL","1996","29243"
"EST","","ALL","1997","31360"
"EST","","ALL","1998","33635"
"EST","","ALL","1999","31301"
"EST","","ALL","2000","32359"
"EST","","ALL","2001","28756"
"EST","","ALL","2002","24858"
"EST","","ALL","2003","27644"
"EST","","ALL","2004","29126"
"EST","","ALL","2005","27254"
"EST","","ALL","2006","27065"
"EST","","ALL","2007","24703"
"EST","","ALL","2008","24230"
"EST","","ALL","2009","23759"
"","EU_AFTER_MAY2004","ALL","2000","2081193"
"","EU_AFTER_MAY2004","ALL","2001","2074521"
"","EU_AFTER_MAY2004","ALL","2002","2124631"
"","EU_AFTER_MAY2004","ALL","2003","2104184"
"","EU_AFTER_MAY2004","ALL","2004","2159032"
"","EU_AFTER_MAY2004","ALL","2005","2052111"
"","EU_AFTER_MAY2004","ALL","2006","2039299"
"","EU_AFTER_MAY2004","ALL","2007","2010996"
"","EU_AFTER_MAY2004","ALL","2008","2063852"
"","EU_BEFORE_FEB2020","ALL","2000","6697459"
"","EU_BEFORE_FEB2020","ALL","2001","6517117"
"","EU_BEFORE_FEB2020","ALL","2002","6664963"
"","EU_BEFORE_FEB2020","ALL","2003","6812723"
"","EU_BEFORE_FEB2020","ALL","2004","6745132"
"","EU_BEFORE_FEB2020","ALL","2005","6887955"
"","EU_BEFORE_FEB2020","ALL","2006","6685739"
"","EU_BEFORE_FEB2020","ALL","2007","6801904"
"","EU_BEFORE_MAY2004","ALL","1998","4699070"
