model,accuracy,precision,recall,f1,roc_auc
LightGBM,0.997904839145715,0.9981741952934812,0.9976344958096783,0.9979042725797729,0.9999837361880246
LightGBM_Calibrated,0.9978710462287105,0.9982077641011768,0.9975331170586645,0.997870326549929,0.9999831583556372
Stacking,0.9981920789402541,0.9980069587541803,0.9983779399837794,0.9981924148999071,0.9999876576829215
